Date,Number of crimes
01/01/2021,1524
01/02/2021,979
01/03/2021,892
01/04/2021,1046
01/05/2021,1102
01/06/2021,1052
01/07/2021,1103
01/08/2021,1102
01/09/2021,1061
01/10/2021,958
01/11/2021,1024
01/12/2021,1107
01/13/2021,1097
01/14/2021,1119
01/15/2021,1264
01/16/2021,1102
01/17/2021,1012
01/18/2021,978
01/19/2021,1134
01/20/2021,1118
01/21/2021,1180
01/22/2021,1138
01/23/2021,919
01/24/2021,897
01/25/2021,1038
01/26/2021,1019
01/27/2021,1063
01/28/2021,953
01/29/2021,978
01/30/2021,986
01/31/2021,850
02/01/2021,762
02/02/2021,794
02/03/2021,976
02/04/2021,1073
02/05/2021,1114
02/06/2021,1014
02/07/2021,859
02/08/2021,961
02/09/2021,967
02/10/2021,1052
02/11/2021,994
02/12/2021,1067
02/13/2021,969
02/14/2021,1017
02/15/2021,973
02/16/2021,1080
02/17/2021,1101
02/18/2021,837
02/19/2021,979
02/20/2021,1078
02/21/2021,975
02/22/2021,941
02/23/2021,1074
02/24/2021,1157
02/25/2021,1185
02/26/2021,1141
02/27/2021,1017
02/28/2021,1007
03/01/2021,1323
03/02/2021,1095
03/03/2021,1199
03/04/2021,1195
03/05/2021,1158
03/06/2021,1009
03/07/2021,960
03/08/2021,972
03/09/2021,1175
03/10/2021,1166
03/11/2021,1158
03/12/2021,1318
03/13/2021,1107
03/14/2021,988
03/15/2021,1066
03/16/2021,1100
03/17/2021,1142
03/18/2021,1025
03/19/2021,1105
03/20/2021,1135
03/21/2021,1117
03/22/2021,1106
03/23/2021,1150
03/24/2021,1121
03/25/2021,1162
03/26/2021,1131
03/27/2021,1073
03/28/2021,940
03/29/2021,1066
03/30/2021,1124
03/31/2021,1038
04/01/2021,1197
04/02/2021,1093
04/03/2021,967
04/04/2021,943
04/05/2021,1099
04/06/2021,1073
04/07/2021,1127
04/08/2021,1102
04/09/2021,1099
04/10/2021,1265
04/11/2021,984
04/12/2021,984
04/13/2021,1109
04/14/2021,1095
04/15/2021,1077
04/16/2021,1093
04/17/2021,1081
04/18/2021,964
04/19/2021,1102
04/20/2021,1091
04/21/2021,1042
04/22/2021,1033
04/23/2021,1085
04/24/2021,1134
04/25/2021,1014
04/26/2021,1153
04/27/2021,1128
04/28/2021,1089
04/29/2021,1109
04/30/2021,1133
05/01/2021,1270
05/02/2021,1100
05/03/2021,1112
05/04/2021,1080
05/05/2021,1083
05/06/2021,1194
05/07/2021,1189
05/08/2021,1113
05/09/2021,1008
05/10/2021,1141
05/11/2021,1143
05/12/2021,1221
05/13/2021,1216
05/14/2021,1207
05/15/2021,1314
05/16/2021,1194
05/17/2021,1239
05/18/2021,1252
05/19/2021,1307
05/20/2021,1281
05/21/2021,1271
05/22/2021,1232
05/23/2021,1232
05/24/2021,1267
05/25/2021,1288
05/26/2021,1198
05/27/2021,1231
05/28/2021,1147
05/29/2021,939
05/30/2021,906
05/31/2021,1088
06/01/2021,1396
06/02/2021,1274
06/03/2021,1203
06/04/2021,1218
06/05/2021,1250
06/06/2021,1283
06/07/2021,1235
06/08/2021,1189
06/09/2021,1252
06/10/2021,1337
06/11/2021,1256
06/12/2021,1145
06/13/2021,1186
06/14/2021,1206
06/15/2021,1204
06/16/2021,1208
06/17/2021,1261
06/18/2021,1261
06/19/2021,1120
06/20/2021,1204
06/21/2021,1336
06/22/2021,1172
06/23/2021,1252
06/24/2021,1233
06/25/2021,1295
06/26/2021,1299
06/27/2021,1173
06/28/2021,1262
06/29/2021,1199
06/30/2021,1203
07/01/2021,1273
07/02/2021,1238
07/03/2021,1197
07/04/2021,1199
07/05/2021,1265
07/06/2021,1171
07/07/2021,1281
07/08/2021,1256
07/09/2021,1194
07/10/2021,1243
07/11/2021,1297
07/12/2021,1225
07/13/2021,1294
07/14/2021,1254
07/15/2021,1358
07/16/2021,1347
07/17/2021,1282
07/18/2021,1228
07/19/2021,1200
07/20/2021,1292
07/21/2021,1230
07/22/2021,1296
07/23/2021,1352
07/24/2021,1305
07/25/2021,1188
07/26/2021,1247
07/27/2021,1216
07/28/2021,1306
07/29/2021,1182
07/30/2021,1209
07/31/2021,1205
08/01/2021,1246
08/02/2021,1203
08/03/2021,1225
08/04/2021,1264
08/05/2021,1239
08/06/2021,1309
08/07/2021,1232
08/08/2021,1128
08/09/2021,1231
08/10/2021,1216
08/11/2021,1268
08/12/2021,1278
08/13/2021,1335
08/14/2021,1241
08/15/2021,1224
08/16/2021,1238
08/17/2021,1195
08/18/2021,1266
08/19/2021,1251
08/20/2021,1272
08/21/2021,1237
08/22/2021,1025
08/23/2021,1156
08/24/2021,1201
08/25/2021,1271
08/26/2021,1200
08/27/2021,1234
08/28/2021,1226
08/29/2021,1126
08/30/2021,1256
08/31/2021,1208
09/01/2021,1127
09/02/2021,1134
09/03/2021,1207
09/04/2021,1244
09/05/2021,1173
09/06/2021,1157
09/07/2021,1201
09/08/2021,1167
09/09/2021,1159
09/10/2021,1230
09/11/2021,1233
09/12/2021,1244
09/13/2021,1254
09/14/2021,1281
09/15/2021,1320
09/16/2021,1309
09/17/2021,1406
09/18/2021,1296
09/19/2021,1196
09/20/2021,1219
09/21/2021,1263
09/22/2021,1307
09/23/2021,1294
09/24/2021,1300
09/25/2021,1269
09/26/2021,1204
09/27/2021,1233
09/28/2021,1175
09/29/2021,1122
09/30/2021,845
