Date,Number of crimes
03/01/2020,1260
03/02/2020,1244
03/03/2020,1295
03/04/2020,1300
03/05/2020,1260
03/06/2020,1197
03/07/2020,1183
03/08/2020,1142
03/09/2020,1204
03/10/2020,1320
03/11/2020,1299
03/12/2020,1189
03/13/2020,1366
03/14/2020,1193
03/15/2020,1124
03/16/2020,993
03/17/2020,970
03/18/2020,1079
03/19/2020,923
03/20/2020,1068
03/21/2020,974
03/22/2020,737
03/23/2020,759
03/24/2020,813
03/25/2020,837
03/26/2020,795
03/27/2020,897
03/28/2020,791
03/29/2020,633
03/30/2020,813
03/31/2020,762
04/01/2020,924
04/02/2020,782
04/03/2020,752
04/04/2020,726
04/05/2020,691
04/06/2020,748
04/07/2020,764
04/08/2020,856
04/09/2020,772
04/10/2020,771
04/11/2020,759
04/12/2020,802
04/13/2020,777
04/14/2020,861
04/15/2020,865
04/16/2020,756
04/17/2020,837
04/18/2020,812
04/19/2020,842
04/20/2020,928
04/21/2020,882
04/22/2020,907
04/23/2020,869
04/24/2020,803
04/25/2020,962
04/26/2020,739
04/27/2020,855
04/28/2020,961
04/29/2020,915
04/30/2020,848
05/01/2020,1113
05/02/2020,1040
05/03/2020,938
05/04/2020,983
05/05/2020,980
05/06/2020,947
05/07/2020,964
05/08/2020,984
05/09/2020,859
05/10/2020,924
05/11/2020,940
05/12/2020,997
05/13/2020,984
05/14/2020,1030
05/15/2020,1106
05/16/2020,1046
05/17/2020,923
05/18/2020,1026
05/19/2020,1058
05/20/2020,1084
05/21/2020,1130
05/22/2020,1162
05/23/2020,949
05/24/2020,912
05/25/2020,990
05/26/2020,1121
05/27/2020,1144
05/28/2020,1138
05/29/2020,1184
05/30/2020,1135
05/31/2020,1185
06/01/2020,1857
06/02/2020,1392
06/03/2020,925
06/04/2020,971
06/05/2020,918
06/06/2020,926
06/07/2020,918
06/08/2020,1030
06/09/2020,973
06/10/2020,1043
06/11/2020,981
06/12/2020,1091
06/13/2020,1049
06/14/2020,941
06/15/2020,1128
06/16/2020,957
06/17/2020,1075
06/18/2020,1026
06/19/2020,1001
06/20/2020,1089
06/21/2020,1048
06/22/2020,1124
06/23/2020,1125
06/24/2020,1186
06/25/2020,1135
06/26/2020,1218
06/27/2020,1116
06/28/2020,1035
06/29/2020,1064
06/30/2020,1108
07/01/2020,1189
07/02/2020,1146
07/03/2020,1107
07/04/2020,1065
07/05/2020,1243
07/06/2020,1131
07/07/2020,1103
07/08/2020,1133
07/09/2020,1145
07/10/2020,1091
07/11/2020,1035
07/12/2020,1199
07/13/2020,1167
07/14/2020,1174
07/15/2020,1257
07/16/2020,1135
07/17/2020,1195
07/18/2020,1121
07/19/2020,1054
07/20/2020,1105
07/21/2020,1104
07/22/2020,1129
07/23/2020,1118
07/24/2020,1109
07/25/2020,1110
07/26/2020,1129
07/27/2020,1209
07/28/2020,1218
07/29/2020,1172
07/30/2020,1102
07/31/2020,1121
08/01/2020,1388
08/02/2020,1200
08/03/2020,1213
08/04/2020,1023
08/05/2020,1185
08/06/2020,1161
08/07/2020,1183
08/08/2020,1093
08/09/2020,1181
08/10/2020,1238
08/11/2020,1188
08/12/2020,1210
08/13/2020,1213
08/14/2020,1365
08/15/2020,1186
08/16/2020,1114
08/17/2020,1230
08/18/2020,1178
08/19/2020,1191
08/20/2020,1253
08/21/2020,1322
08/22/2020,1224
08/23/2020,1162
08/24/2020,1240
08/25/2020,1225
08/26/2020,1230
08/27/2020,1141
08/28/2020,1199
08/29/2020,1205
08/30/2020,1126
08/31/2020,1130
09/01/2020,1278
09/02/2020,1255
09/03/2020,1165
09/04/2020,1230
09/05/2020,1196
09/06/2020,1158
09/07/2020,1224
09/08/2020,1323
09/09/2020,1214
09/10/2020,1244
09/11/2020,1267
09/12/2020,1203
09/13/2020,1148
09/14/2020,1208
09/15/2020,1187
09/16/2020,1133
09/17/2020,1295
09/18/2020,1253
09/19/2020,1056
09/20/2020,1078
09/21/2020,1058
09/22/2020,1063
09/23/2020,1107
09/24/2020,1158
09/25/2020,1229
09/26/2020,1221
09/27/2020,1171
09/28/2020,1188
09/29/2020,1147
09/30/2020,1194
10/01/2020,1330
10/02/2020,1243
10/03/2020,1203
10/04/2020,1055
10/05/2020,1200
10/06/2020,1237
10/07/2020,1235
10/08/2020,1194
10/09/2020,1178
10/10/2020,1250
10/11/2020,1180
10/12/2020,997
10/13/2020,1172
10/14/2020,1216
10/15/2020,1288
10/16/2020,1062
10/17/2020,1138
10/18/2020,1148
10/19/2020,1208
