Date,Total Covid Cases,MURDER & NON-NEGL. MANSLAUGHTER,PETIT LARCENY,FORGERY,ROBBERY,HARRASSMENT 2,DANGEROUS WEAPONS,FELONY ASSAULT,THEFT-FRAUD,CRIMINAL TRESPASS,BURGLARY,SEX CRIMES,ARSON,ASSAULT 3 & RELATED OFFENSES,GRAND LARCENY,DANGEROUS DRUGS,RAPE,MISCELLANEOUS PENAL LAW,VEHICLE AND TRAFFIC LAWS,UNAUTHORIZED USE OF A VEHICLE,ADMINISTRATIVE CODE,CRIMINAL MISCHIEF & RELATED OF,GRAND LARCENY OF MOTOR VEHICLE,THEFT OF SERVICES,OTHER OFFENSES RELATED TO THEF,OFF. AGNST PUB ORD SENSBLTY &,OFFENSES INVOLVING FRAUD,POSSESSION OF STOLEN PROPERTY,OFFENSES AGAINST PUBLIC ADMINI,NYS LAWS-UNCLASSIFIED FELONY,BURGLAR'S TOOLS,FRAUDS,INTOXICATED & IMPAIRED DRIVING,OFFENSES AGAINST THE PERSON,PROSTITUTION & RELATED OFFENSES,OTHER STATE LAWS (NON PENAL LA,AGRICULTURE & MRKTS LAW-UNCLASSIFIED,KIDNAPPING & RELATED OFFENSES,PETIT LARCENY OF MOTOR VEHICLE,OFFENSES AGAINST PUBLIC SAFETY,FORTUNE TELLING,GAMBLING,ANTICIPATORY OFFENSES,ALCOHOLIC BEVERAGE CONTROL LAW,FELONY SEX CRIMES,CHILD ABANDONMENT/NON SUPPORT,DISORDERLY CONDUCT,OTHER STATE LAWS,FRAUDULENT ACCOSTING,"HOMICIDE-NEGLIGENT,UNCLASSIFIE",JOSTLING,KIDNAPPING,UNLAWFUL POSS. WEAP. ON SCHOOL,ESCAPE 3,NEW YORK CITY HEALTH CODE,ENDAN WELFARE INCOMP,NYS LAWS-UNCLASSIFIED VIOLATION,HOMICIDE-NEGLIGENT-VEHICLE,OFFENSES RELATED TO CHILDREN
03/18/2020,2971,0,204,6,31,173,21,58,7,5,32,13,3,111,86,36,3,39,4,9,2,148,12,0,1,33,2,2,17,0,1,3,3,4,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/19/2020,3706,0,181,6,27,141,11,38,5,7,26,13,1,101,74,26,2,42,9,11,0,110,20,0,1,32,6,3,18,3,0,4,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/20/2020,4006,1,206,9,30,163,9,55,8,4,53,9,1,115,83,38,4,29,7,2,4,140,19,0,1,41,3,1,19,1,3,4,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/21/2020,2639,0,171,2,45,174,17,65,1,3,32,8,3,126,74,15,3,34,3,4,4,99,13,0,0,33,1,3,15,1,1,6,11,0,1,2,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
03/22/2020,2580,0,141,1,31,133,3,30,2,6,27,6,0,104,48,8,0,27,1,2,1,107,11,0,1,30,0,2,9,1,0,0,2,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/23/2020,3570,0,161,1,18,133,1,30,3,6,37,5,1,78,54,6,1,39,5,5,1,108,13,0,1,31,1,3,10,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/24/2020,4498,0,156,0,28,138,11,41,2,8,43,4,1,84,52,15,3,32,4,1,2,114,22,0,1,27,0,3,12,0,0,2,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/25/2020,4875,0,172,1,31,165,8,48,3,5,37,10,2,73,52,19,3,22,3,4,4,102,13,1,2,28,1,2,20,1,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/26/2020,5044,3,169,6,25,130,10,32,6,3,28,8,0,79,47,12,2,40,6,3,4,105,19,0,1,30,0,3,10,2,2,2,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
03/27/2020,5119,1,181,3,21,145,16,50,1,6,38,8,3,100,50,23,1,35,10,5,5,109,23,0,0,26,0,2,16,1,1,1,7,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
