Date,Number of crimes,CASE_COUNT,HOSPITALIZED_COUNT,DEATH_COUNT,CASE_COUNT_7DAY_AVG
01/01/2021,1524,1336,302,36,3806
01/02/2021,979,4190,322,57,3911
01/03/2021,892,3454,299,38,3992
01/04/2021,1046,6593,403,61,4164
01/05/2021,1102,6151,348,65,4300
01/06/2021,1052,5676,376,59,4398
01/07/2021,1103,5434,361,52,4691
01/08/2021,1102,5295,352,61,5256
01/09/2021,1061,3689,326,72,5185
01/10/2021,958,3198,305,52,5148
01/11/2021,1024,5910,401,59,5050
01/12/2021,1107,5231,389,74,4919
01/13/2021,1097,5171,428,67,4847
01/14/2021,1119,5258,434,65,4822
01/15/2021,1264,4838,392,63,4756
01/16/2021,1102,3478,367,66,4726
01/17/2021,1012,2918,334,56,4686
01/18/2021,978,4641,439,73,4505
01/19/2021,1134,5141,386,82,4492
01/20/2021,1118,4906,364,74,4454
01/21/2021,1180,4937,416,63,4408
01/22/2021,1138,4711,431,80,4390
01/23/2021,919,3275,322,78,4361
01/24/2021,897,2855,337,67,4352
01/25/2021,1038,5660,403,65,4498
01/26/2021,1019,4697,367,78,4434
01/27/2021,1063,4780,422,90,4416
01/28/2021,953,4675,391,86,4379
01/29/2021,978,3668,401,88,4230
01/30/2021,986,2858,266,79,4170
01/31/2021,850,2891,304,74,4176
02/01/2021,762,975,289,65,3506
02/02/2021,794,2660,404,77,3215
02/03/2021,976,5143,442,75,3267
02/04/2021,1073,4856,432,90,3293
02/05/2021,1114,4157,441,82,3363
02/06/2021,1014,3079,364,77,3394
02/07/2021,859,1647,312,78,3217
02/08/2021,961,4430,393,82,3710
02/09/2021,967,3730,397,71,3863
02/10/2021,1052,3778,363,79,3668
02/11/2021,994,3411,321,96,3462
02/12/2021,1067,3314,345,82,3341
02/13/2021,969,2204,280,82,3216
02/14/2021,1017,1896,248,81,3252
02/15/2021,973,2858,324,83,3027
02/16/2021,1080,3724,351,85,3026
02/17/2021,1101,3438,292,81,2978
02/18/2021,837,2047,262,54,2783
02/19/2021,979,3017,305,57,2741
02/20/2021,1078,2494,298,69,2782
02/21/2021,975,2287,272,59,2838
02/22/2021,941,3615,351,74,2946
02/23/2021,1074,3474,328,74,2910
02/24/2021,1157,3460,355,79,2913
02/25/2021,1185,3480,292,74,3118
02/26/2021,1141,3239,329,71,3150
02/27/2021,1017,2015,244,66,3081
02/28/2021,1007,2038,244,68,3046
03/01/2021,1323,3725,325,62,3062
03/02/2021,1095,3109,274,53,3009
03/03/2021,1199,3241,307,72,2978
03/04/2021,1195,3118,299,61,2926
03/05/2021,1158,2886,258,54,2876
03/06/2021,1009,2044,243,56,2880
03/07/2021,960,1876,249,61,2857
03/08/2021,972,3399,296,68,2810
03/09/2021,1175,3340,282,71,2843
03/10/2021,1166,3203,282,62,2838
03/11/2021,1158,3106,294,56,2836
03/12/2021,1318,3202,293,73,2881
03/13/2021,1107,2175,220,63,2900
03/14/2021,988,1923,252,40,2907
03/15/2021,1066,3391,293,44,2906
03/16/2021,1100,3196,248,65,2885
03/17/2021,1142,3170,280,45,2880
03/18/2021,1025,2916,304,59,2853
03/19/2021,1105,3048,261,45,2831
03/20/2021,1135,2158,262,50,2829
03/21/2021,1117,2090,267,50,2853
03/22/2021,1106,3881,328,55,2923
03/23/2021,1150,3250,279,54,2930
03/24/2021,1121,3453,293,41,2971
03/25/2021,1162,3798,310,70,3097
03/26/2021,1131,3418,313,64,3150
03/27/2021,1073,2223,260,52,3159
03/28/2021,940,1751,206,57,3111
03/29/2021,1066,3557,304,48,3064
03/30/2021,1124,3187,263,42,3055
03/31/2021,1038,3185,289,61,3017
04/01/2021,1197,2866,265,57,2884
04/02/2021,1093,2619,263,54,2770
04/03/2021,967,2050,234,48,2745
04/04/2021,943,1467,215,47,2704
04/05/2021,1099,3269,265,53,2663
04/06/2021,1073,3003,229,46,2637
04/07/2021,1127,2764,220,44,2577
04/08/2021,1102,2571,216,54,2535
04/09/2021,1099,2469,204,54,2513
04/10/2021,1265,1723,189,49,2467
04/11/2021,984,1315,160,53,2445
04/12/2021,984,2533,201,41,2340
04/13/2021,1109,2362,202,37,2248
04/14/2021,1095,2241,195,35,2173
04/15/2021,1077,2015,218,41,2094
04/16/2021,1093,1837,196,31,2004
04/17/2021,1081,1275,164,35,1940
04/18/2021,964,1056,167,35,1903
04/19/2021,1102,1881,173,41,1810
04/20/2021,1091,1604,155,35,1701
04/21/2021,1042,1416,114,35,1583
04/22/2021,1033,1361,161,41,1490
04/23/2021,1085,1289,156,47,1412
04/24/2021,1134,852,104,29,1351
04/25/2021,1014,757,120,24,1309
04/26/2021,1153,1368,144,30,1235
04/27/2021,1128,1138,116,31,1169
04/28/2021,1089,1215,129,29,1140
04/29/2021,1109,1055,115,31,1096
04/30/2021,1133,963,95,38,1050
05/01/2021,1270,577,79,30,1010
05/02/2021,1100,569,72,29,984
05/03/2021,1112,935,88,23,922
05/04/2021,1080,877,95,27,884
05/05/2021,1083,779,76,26,822
05/06/2021,1194,784,81,27,783
05/07/2021,1189,715,72,37,748
05/08/2021,1113,383,62,24,720
05/09/2021,1008,343,62,26,688
05/10/2021,1141,654,70,28,648
05/11/2021,1143,629,69,21,612
05/12/2021,1221,594,62,18,586
05/13/2021,1216,516,66,25,548
05/14/2021,1207,486,69,28,515
05/15/2021,1314,292,39,9,502
05/16/2021,1194,279,41,16,493
05/17/2021,1239,453,73,16,464
05/18/2021,1252,415,52,14,434
05/19/2021,1307,377,58,14,403
05/20/2021,1281,395,65,14,385
05/21/2021,1271,349,52,14,366
05/22/2021,1232,233,35,17,357
05/23/2021,1232,187,45,12,344
05/24/2021,1267,355,35,10,330
05/25/2021,1288,305,40,6,314
05/26/2021,1198,248,33,6,296
05/27/2021,1231,257,44,9,276
05/28/2021,1147,210,35,12,256
05/29/2021,939,126,25,10,241
05/30/2021,906,120,26,8,232
05/31/2021,1088,118,19,12,198
06/01/2021,1396,288,33,13,195
06/02/2021,1274,242,44,11,194
06/03/2021,1203,206,29,12,187
06/04/2021,1218,224,23,7,189
06/05/2021,1250,142,17,6,191
06/06/2021,1283,130,25,5,193
06/07/2021,1235,219,31,7,207
06/08/2021,1189,176,38,10,191
06/09/2021,1252,211,24,9,187
06/10/2021,1337,155,25,6,180
06/11/2021,1256,189,26,6,175
06/12/2021,1145,121,22,5,172
06/13/2021,1186,113,30,6,169
06/14/2021,1206,180,25,7,164
06/15/2021,1204,179,25,6,164
06/16/2021,1208,175,24,6,159
06/17/2021,1261,187,30,9,163
06/18/2021,1261,158,18,8,159
06/19/2021,1120,107,13,11,157
06/20/2021,1204,97,26,5,155
06/21/2021,1336,169,30,3,153
06/22/2021,1172,171,33,7,152
06/23/2021,1252,187,23,5,154
06/24/2021,1233,175,14,5,152
06/25/2021,1295,181,19,6,155
06/26/2021,1299,118,18,3,157
06/27/2021,1173,109,23,1,159
06/28/2021,1262,205,25,6,164
06/29/2021,1199,212,23,4,170
06/30/2021,1203,223,21,4,175
07/01/2021,1273,204,31,4,179
07/02/2021,1238,232,36,7,186
07/03/2021,1197,144,20,6,190
07/04/2021,1199,120,21,4,191
07/05/2021,1265,185,14,1,189
07/06/2021,1171,360,23,3,210
07/07/2021,1281,397,23,2,235
07/08/2021,1256,367,24,2,258
07/09/2021,1194,369,37,2,277
07/10/2021,1243,236,17,2,291
07/11/2021,1297,267,28,4,312
07/12/2021,1225,473,24,4,353
07/13/2021,1294,456,25,3,366
07/14/2021,1254,544,47,2,387
07/15/2021,1358,548,28,5,413
07/16/2021,1347,552,36,5,439
07/17/2021,1282,340,36,6,454
07/18/2021,1228,387,37,2,471
07/19/2021,1200,805,50,5,519
07/20/2021,1292,703,52,4,554
07/21/2021,1230,890,41,2,604
07/22/2021,1296,967,51,3,663
07/23/2021,1352,911,47,3,715
07/24/2021,1305,550,42,2,745
07/25/2021,1188,631,41,4,780
07/26/2021,1247,1215,58,1,838
07/27/2021,1216,1197,71,5,909
07/28/2021,1306,1239,74,6,959
07/29/2021,1182,1283,74,8,1004
07/30/2021,1209,1274,78,10,1056
07/31/2021,1205,846,67,4,1098
08/01/2021,1246,823,47,11,1125
08/02/2021,1203,1560,71,4,1175
08/03/2021,1225,1571,94,3,1228
08/04/2021,1264,1600,84,8,1280
08/05/2021,1239,1521,88,6,1314
08/06/2021,1309,1568,113,10,1356
08/07/2021,1232,1141,84,14,1398
08/08/2021,1128,1065,96,6,1432
08/09/2021,1231,1883,128,9,1478
08/10/2021,1216,1660,116,6,1491
08/11/2021,1268,1746,137,6,1512
08/12/2021,1278,1755,115,6,1545
08/13/2021,1335,1596,136,9,1549
08/14/2021,1241,1039,90,10,1535
08/15/2021,1224,1137,106,6,1545
08/16/2021,1238,1916,122,6,1550
08/17/2021,1195,1734,128,14,1560
08/18/2021,1266,1812,112,13,1570
08/19/2021,1251,1682,92,13,1559
08/20/2021,1272,1548,113,5,1553
08/21/2021,1237,1081,112,16,1559
08/22/2021,1025,715,102,9,1498
08/23/2021,1156,1944,112,12,1502
08/24/2021,1201,1826,101,11,1515
08/25/2021,1271,1768,107,8,1509
08/26/2021,1200,1632,102,13,1502
08/27/2021,1234,1438,102,9,1486
08/28/2021,1226,976,78,14,1471
08/29/2021,1126,979,85,13,1509
08/30/2021,1256,1828,120,13,1492
08/31/2021,1208,1617,118,10,1463
09/01/2021,1127,1551,121,13,1432
09/02/2021,1134,1425,92,11,1402
09/03/2021,1207,1411,74,8,1398
09/04/2021,1244,901,100,12,1387
09/05/2021,1173,944,71,12,1382
09/06/2021,1157,940,74,17,1256
09/07/2021,1201,1559,105,7,1247
09/08/2021,1167,1581,95,20,1252
09/09/2021,1159,1707,92,18,1292
09/10/2021,1230,1537,94,15,1310
09/11/2021,1233,1032,79,15,1329
09/12/2021,1244,1207,86,12,1366
09/13/2021,1254,1723,98,12,1478
09/14/2021,1281,1635,79,9,1489
09/15/2021,1320,1604,93,10,1492
09/16/2021,1309,1384,80,11,1446
09/17/2021,1406,1518,82,11,1443
09/18/2021,1296,945,83,10,1431
09/19/2021,1196,1051,71,16,1409
09/20/2021,1219,1632,92,15,1396
09/21/2021,1263,1282,80,14,1345
09/22/2021,1307,1402,95,13,1316
09/23/2021,1294,1274,89,11,1301
09/24/2021,1300,1215,79,9,1257
09/25/2021,1269,802,64,15,1237
09/26/2021,1204,849,49,14,1208
09/27/2021,1233,1373,71,16,1171
09/28/2021,1175,1108,62,13,1146
09/29/2021,1122,1087,61,13,1101
09/30/2021,845,1125,55,8,1080
