Date,Number of crimes
07/16/2017,1179
07/17/2017,1283
07/18/2017,1284
07/19/2017,1365
07/20/2017,1248
07/21/2017,1267
07/22/2017,1310
07/23/2017,1251
07/24/2017,1169
07/25/2017,1283
07/26/2017,1280
07/27/2017,1230
07/28/2017,1406
07/29/2017,1189
07/30/2017,1112
07/31/2017,1178
08/01/2017,1462
08/02/2017,1286
08/03/2017,1346
08/04/2017,1319
08/05/2017,1276
08/06/2017,1157
08/07/2017,1085
08/08/2017,1298
08/09/2017,1284
08/10/2017,1302
08/11/2017,1324
08/12/2017,1249
08/13/2017,1189
08/14/2017,1251
08/15/2017,1270
08/16/2017,1311
08/17/2017,1327
08/18/2017,1135
08/19/2017,1284
08/20/2017,1191
08/21/2017,1167
08/22/2017,1235
08/23/2017,1317
08/24/2017,1282
08/25/2017,1341
08/26/2017,1143
08/27/2017,1194
08/28/2017,1118
08/29/2017,1038
08/30/2017,1265
08/31/2017,1229
09/01/2017,1445
09/02/2017,1267
09/03/2017,1020
09/04/2017,1151
09/05/2017,1322
09/06/2017,1172
09/07/2017,1258
09/08/2017,1300
09/09/2017,1233
09/10/2017,1177
09/11/2017,1114
09/12/2017,1216
09/13/2017,1254
09/14/2017,1251
09/15/2017,1415
09/16/2017,1341
09/17/2017,1204
09/18/2017,1181
09/19/2017,1107
09/20/2017,1344
09/21/2017,1246
09/22/2017,1306
09/23/2017,1392
09/24/2017,1196
09/25/2017,1114
09/26/2017,1203
09/27/2017,1247
09/28/2017,1382
09/29/2017,1241
09/30/2017,1210
10/01/2017,1240
10/02/2017,1225
10/03/2017,1192
10/04/2017,1257
10/05/2017,1248
10/06/2017,1474
10/07/2017,1215
10/08/2017,1086
10/09/2017,1069
10/10/2017,1350
10/11/2017,1306
10/12/2017,1234
10/13/2017,1404
10/14/2017,1212
10/15/2017,1254
10/16/2017,1139
10/17/2017,1216
10/18/2017,1247
10/19/2017,1258
10/20/2017,1273
10/21/2017,1265
10/22/2017,1139
10/23/2017,1306
10/24/2017,1270
10/25/2017,1333
10/26/2017,1248
10/27/2017,1221
10/28/2017,1233
10/29/2017,1063
10/30/2017,1068
10/31/2017,1332
11/01/2017,1344
11/02/2017,1306
11/03/2017,1317
11/04/2017,1123
11/05/2017,1023
11/06/2017,1141
11/07/2017,1074
11/08/2017,1163
11/09/2017,1155
11/10/2017,1112
11/11/2017,1055
11/12/2017,1047
11/13/2017,1110
11/14/2017,1122
11/15/2017,1224
11/16/2017,1115
11/17/2017,1216
11/18/2017,1202
11/19/2017,1056
11/20/2017,1120
11/21/2017,1081
11/22/2017,1181
11/23/2017,778
11/24/2017,1140
11/25/2017,1129
11/26/2017,1044
11/27/2017,1159
11/28/2017,1148
11/29/2017,1151
11/30/2017,1200
12/01/2017,1363
12/02/2017,1142
12/03/2017,1036
12/04/2017,1109
12/05/2017,1204
12/06/2017,1158
12/07/2017,1128
12/08/2017,1216
12/09/2017,1015
12/10/2017,1020
12/11/2017,1015
12/12/2017,1092
12/13/2017,1017
12/14/2017,964
12/15/2017,1026
12/16/2017,1060
12/17/2017,1068
12/18/2017,1009
12/19/2017,1104
12/20/2017,1148
12/21/2017,1068
12/22/2017,1114
12/23/2017,1043
12/24/2017,851
12/25/2017,671
12/26/2017,864
12/27/2017,876
12/28/2017,855
12/29/2017,839
12/30/2017,802
12/31/2017,576
