Date,Number of crimes
01/01/2017,1941
01/02/2017,989
01/03/2017,1196
01/04/2017,1189
01/05/2017,1185
01/06/2017,1141
01/07/2017,930
01/08/2017,842
01/09/2017,925
01/10/2017,1139
01/11/2017,1137
01/12/2017,1280
01/13/2017,1293
01/14/2017,1195
01/15/2017,1005
01/16/2017,1034
01/17/2017,1198
01/18/2017,1239
01/19/2017,1174
01/20/2017,1369
01/21/2017,1226
01/22/2017,1155
01/23/2017,1116
01/24/2017,1091
01/25/2017,1202
01/26/2017,1200
01/27/2017,1218
01/28/2017,1184
01/29/2017,1066
01/30/2017,1042
01/31/2017,1016
02/01/2017,1419
02/02/2017,1195
02/03/2017,1173
02/04/2017,1067
02/05/2017,1101
02/06/2017,1113
02/07/2017,1041
02/08/2017,1224
02/09/2017,717
02/10/2017,1092
02/11/2017,1142
02/12/2017,974
02/13/2017,1026
02/14/2017,1059
02/15/2017,1134
02/16/2017,1072
02/17/2017,1143
02/18/2017,1144
02/19/2017,1071
02/20/2017,1020
02/21/2017,1014
02/22/2017,1035
02/23/2017,1184
02/24/2017,1159
02/25/2017,1164
02/26/2017,953
02/27/2017,1140
02/28/2017,1219
03/01/2017,1453
03/02/2017,1085
03/03/2017,1164
03/04/2017,1110
03/05/2017,995
03/06/2017,1034
03/07/2017,1150
03/08/2017,1246
03/09/2017,1146
03/10/2017,1175
03/11/2017,989
03/12/2017,916
03/13/2017,1013
03/14/2017,594
03/15/2017,919
03/16/2017,1018
03/17/2017,1203
03/18/2017,1097
03/19/2017,980
03/20/2017,1151
03/21/2017,1172
03/22/2017,1137
03/23/2017,1180
03/24/2017,1283
03/25/2017,1186
03/26/2017,956
03/27/2017,1026
03/28/2017,1146
03/29/2017,1131
03/30/2017,1128
03/31/2017,1064
04/01/2017,1351
04/02/2017,1126
04/03/2017,1279
04/04/2017,1176
04/05/2017,1174
04/06/2017,1087
04/07/2017,1175
04/08/2017,1150
04/09/2017,1058
04/10/2017,1228
04/11/2017,1121
04/12/2017,1213
04/13/2017,1128
04/14/2017,1169
04/15/2017,1136
04/16/2017,1102
04/17/2017,1215
04/18/2017,1184
04/19/2017,1171
04/20/2017,1189
04/21/2017,1208
04/22/2017,1171
04/23/2017,1053
04/24/2017,1124
04/25/2017,1119
04/26/2017,1112
04/27/2017,1199
04/28/2017,1291
04/29/2017,1282
04/30/2017,1125
05/01/2017,1470
05/02/2017,1329
05/03/2017,1281
05/04/2017,1241
05/05/2017,1197
05/06/2017,1250
05/07/2017,1109
05/08/2017,1102
05/09/2017,1157
05/10/2017,1312
05/11/2017,1193
05/12/2017,1225
05/13/2017,961
05/14/2017,1042
05/15/2017,1245
05/16/2017,1214
05/17/2017,1329
05/18/2017,1258
05/19/2017,1360
05/20/2017,1255
05/21/2017,1194
05/22/2017,1010
05/23/2017,1258
05/24/2017,1334
05/25/2017,1153
05/26/2017,1272
05/27/2017,1349
05/28/2017,1187
05/29/2017,1047
05/30/2017,1242
05/31/2017,1198
06/01/2017,1618
06/02/2017,1317
06/03/2017,1235
06/04/2017,1072
06/05/2017,1203
06/06/2017,1157
06/07/2017,1235
06/08/2017,1222
06/09/2017,1350
06/10/2017,1273
06/11/2017,1163
06/12/2017,1146
06/13/2017,1179
06/14/2017,1271
06/15/2017,1329
06/16/2017,1294
06/17/2017,1189
06/18/2017,1124
06/19/2017,1126
06/20/2017,1334
06/21/2017,1328
06/22/2017,1287
06/23/2017,1303
06/24/2017,1247
06/25/2017,1238
06/26/2017,1259
06/27/2017,1222
06/28/2017,1260
06/29/2017,1192
06/30/2017,1325
07/01/2017,1515
07/02/2017,1175
07/03/2017,1298
07/04/2017,1244
07/05/2017,1356
07/06/2017,1213
07/07/2017,1277
07/08/2017,1241
07/09/2017,1204
07/10/2017,1232
07/11/2017,1087
07/12/2017,1302
07/13/2017,1306
07/14/2017,1199
07/15/2017,1253
