Date,Number of crimes
01/01/2018,121
01/02/2018,22
01/03/2018,21
01/04/2018,18
01/05/2018,20
01/06/2018,22
01/07/2018,12
01/08/2018,7
01/09/2018,13
01/10/2018,14
01/11/2018,12
01/12/2018,10
01/13/2018,8
01/14/2018,9
01/15/2018,10
01/16/2018,7
01/17/2018,7
01/18/2018,13
01/19/2018,11
01/20/2018,4
01/21/2018,7
01/22/2018,8
01/23/2018,4
01/24/2018,9
01/25/2018,6
01/26/2018,8
01/27/2018,6
01/28/2018,14
01/29/2018,12
01/30/2018,10
01/31/2018,11
02/01/2018,33
02/02/2018,11
02/03/2018,9
02/04/2018,9
02/05/2018,3
02/06/2018,3
02/07/2018,9
02/08/2018,11
02/09/2018,10
02/10/2018,8
02/11/2018,5
02/12/2018,5
02/13/2018,10
02/14/2018,7
02/15/2018,10
02/16/2018,9
02/17/2018,8
02/18/2018,5
02/19/2018,6
02/20/2018,15
02/21/2018,6
02/22/2018,5
02/23/2018,11
02/24/2018,5
02/25/2018,6
02/26/2018,5
02/27/2018,11
02/28/2018,11
03/01/2018,44
03/02/2018,6
03/03/2018,4
03/04/2018,7
03/05/2018,8
03/06/2018,7
03/07/2018,2
03/08/2018,5
03/09/2018,8
03/10/2018,8
03/11/2018,4
03/12/2018,11
03/13/2018,2
03/14/2018,11
03/15/2018,13
03/16/2018,6
03/17/2018,5
03/18/2018,11
03/19/2018,10
03/20/2018,12
03/21/2018,2
03/22/2018,11
03/23/2018,2
03/24/2018,12
03/25/2018,5
03/26/2018,5
03/27/2018,11
03/28/2018,8
03/29/2018,10
03/30/2018,4
03/31/2018,8
04/01/2018,55
04/02/2018,8
04/03/2018,7
04/04/2018,6
04/05/2018,7
04/06/2018,7
04/07/2018,5
04/08/2018,7
04/09/2018,10
04/10/2018,14
04/11/2018,6
04/12/2018,5
04/13/2018,3
04/14/2018,10
04/15/2018,13
04/16/2018,8
04/17/2018,8
04/18/2018,16
04/19/2018,10
04/20/2018,9
04/21/2018,10
04/22/2018,5
04/23/2018,7
04/24/2018,4
04/25/2018,9
04/26/2018,7
04/27/2018,7
04/28/2018,10
04/29/2018,10
