Date,Number of crimes
04/30/2018,6
05/01/2018,52
05/02/2018,8
05/03/2018,9
05/04/2018,9
05/05/2018,7
05/06/2018,5
05/07/2018,4
05/08/2018,11
05/09/2018,15
05/10/2018,12
05/11/2018,7
05/12/2018,10
05/13/2018,8
05/14/2018,6
05/15/2018,17
05/16/2018,5
05/17/2018,8
05/18/2018,16
05/19/2018,5
05/20/2018,6
05/21/2018,7
05/22/2018,22
05/23/2018,12
05/24/2018,10
05/25/2018,10
05/26/2018,8
05/27/2018,5
05/28/2018,8
05/29/2018,3
05/30/2018,11
05/31/2018,10
06/01/2018,103
06/02/2018,4
06/03/2018,4
06/04/2018,4
06/05/2018,8
06/06/2018,13
06/07/2018,8
06/08/2018,19
06/09/2018,7
06/10/2018,8
06/11/2018,12
06/12/2018,9
06/13/2018,9
06/14/2018,12
06/15/2018,16
06/16/2018,10
06/17/2018,13
06/18/2018,17
06/19/2018,9
06/20/2018,10
06/21/2018,19
06/22/2018,9
06/23/2018,5
06/24/2018,8
06/25/2018,11
06/26/2018,8
06/27/2018,9
06/28/2018,17
06/29/2018,4
06/30/2018,20
07/01/2018,123
07/02/2018,14
07/03/2018,13
07/04/2018,16
07/05/2018,19
07/06/2018,14
07/07/2018,14
07/08/2018,6
07/09/2018,10
07/10/2018,13
07/11/2018,16
07/12/2018,15
07/13/2018,13
07/14/2018,14
07/15/2018,16
07/16/2018,12
07/17/2018,10
07/18/2018,20
07/19/2018,6
07/20/2018,18
07/21/2018,5
07/22/2018,4
07/23/2018,5
07/24/2018,11
07/25/2018,11
07/26/2018,15
07/27/2018,9
07/28/2018,12
07/29/2018,13
07/30/2018,14
07/31/2018,14
08/01/2018,100
08/02/2018,11
08/03/2018,8
08/04/2018,7
08/05/2018,8
08/06/2018,10
08/07/2018,7
08/08/2018,17
08/09/2018,15
08/10/2018,10
08/11/2018,12
08/12/2018,12
08/13/2018,9
08/14/2018,12
08/15/2018,17
08/16/2018,16
08/17/2018,19
08/18/2018,14
08/19/2018,7
08/20/2018,9
08/21/2018,9
08/22/2018,12
08/23/2018,14
08/24/2018,15
08/25/2018,15
08/26/2018,12
08/27/2018,12
08/28/2018,15
08/29/2018,13
08/30/2018,15
08/31/2018,11
09/01/2018,130
09/02/2018,8
09/03/2018,16
09/04/2018,21
09/05/2018,14
09/06/2018,16
09/07/2018,18
09/08/2018,12
09/09/2018,13
09/10/2018,21
09/11/2018,16
09/12/2018,18
09/13/2018,17
09/14/2018,15
09/15/2018,27
09/16/2018,8
09/17/2018,22
09/18/2018,13
09/19/2018,13
09/20/2018,16
09/21/2018,15
09/22/2018,14
09/23/2018,5
09/24/2018,19
09/25/2018,18
09/26/2018,21
09/27/2018,18
09/28/2018,23
09/29/2018,17
09/30/2018,16
10/01/2018,136
10/02/2018,19
10/03/2018,35
10/04/2018,24
10/05/2018,23
10/06/2018,18
10/07/2018,16
10/08/2018,22
10/09/2018,28
10/10/2018,27
10/11/2018,17
10/12/2018,26
10/13/2018,30
10/14/2018,18
10/15/2018,34
10/16/2018,22
10/17/2018,24
10/18/2018,33
10/19/2018,26
10/20/2018,33
10/21/2018,21
10/22/2018,23
10/23/2018,24
10/24/2018,24
10/25/2018,35
10/26/2018,21
10/27/2018,19
10/28/2018,21
10/29/2018,29
10/30/2018,35
10/31/2018,47
11/01/2018,173
11/02/2018,35
11/03/2018,24
11/04/2018,22
11/05/2018,35
11/06/2018,24
11/07/2018,37
11/08/2018,32
11/09/2018,31
11/10/2018,44
11/11/2018,28
11/12/2018,26
11/13/2018,39
11/14/2018,33
11/15/2018,66
11/16/2018,41
11/17/2018,35
11/18/2018,27
11/19/2018,42
11/20/2018,57
11/21/2018,39
11/22/2018,31
11/23/2018,34
11/24/2018,26
11/25/2018,33
11/26/2018,60
11/27/2018,35
11/28/2018,52
11/29/2018,41
11/30/2018,55
12/01/2018,206
12/02/2018,55
12/03/2018,83
12/04/2018,57
12/05/2018,74
12/06/2018,63
12/07/2018,73
12/08/2018,60
12/09/2018,55
12/10/2018,93
12/11/2018,61
12/12/2018,90
12/13/2018,92
12/14/2018,85
12/15/2018,100
12/16/2018,54
12/17/2018,115
12/18/2018,147
12/19/2018,100
12/20/2018,151
12/21/2018,150
12/22/2018,112
12/23/2018,95
12/24/2018,137
12/25/2018,89
12/26/2018,142
12/27/2018,153
12/28/2018,187
12/29/2018,169
12/30/2018,152
12/31/2018,394
